CODIGO SKU;PRODUCTO;MARCA;SERIE;PRECIO DE VENTA;STOCK INICIAL;ENTRADAS;SALIDAS;STOCK VIGENTE;CONTADOS
RYG-EQP-0004;EQUIPO COMPLETO 5TA GNV;STAG;;2800;0;0;0;0;NO CONTADO
RYG-EQP-0005;EQUIPO COMPLETO 5TA GNV;LANDIRENZO;;2800;2;0;0;2;NO CONTADO
RYG-EQP-0006;EQUIPO COMPLETO 6TA GNV;STAG;;2800;0;0;0;0;NO CONTADO
RYG-EQP-0007;EQUIPO COMPLETO GNV;TOMASETTO AEB;;1500;7;0;0;7;NO CONTADO
RYG-EQP-0008;EQUIPO COMPLETO GNV;TOMASETTO AUTOTRONIC;;1600;10;0;0;10;NO CONTADO
RYG-EQP-0009;EQUIPO COMPLETO GNV LANDIRENZO;;;0;2;0;0;2;NO CONTADO
RYG-ESC-0001;ESCATULA DE TOMA DE CARGA NORMAL IGT - GLP;ESTANDAR;;25;63;0;0;63;NO CONTADO
RYG-FLT-0001;FILTRO DE ELECTROVALVULA DE GAS;LANDIRENZO;;40;19;0;0;19;NO CONTADO
RYG-FLT-0002;FILTRO DE GAS;LOVATO;;40;34;0;9;25;NO CONTADO
RYG-FLT-0003;FILTRO DE GAS;LANDIRENZO;;60;14;0;11;3;NO CONTADO
RYG-FLT-0004;FILTRO DE GAS;ESTÁNDAR;;40;748;0;275;473;NO CONTADO
RYG-FLT-0005;FILTRO DE GAS;14*14;;40;39;0;3;36;CONTADO
RYG-FLT-0006;FILTRO DE GASOLINA;BYD;10242721-00;25;6;0;0;6;NO CONTADO
RYG-FLT-0007;FILTRO DE GASOLINA;CHEVROLET SPAR 4 CILINDROS;IH-17072;70;6;0;0;6;NO CONTADO
RYG-FLT-0008;FILTRO DE GASOLINA;TOYOTA PROBOX;IH-17005;80;4;0;0;4;NO CONTADO
RYG-FLT-0009;FILTRO DE GASOLINA;TOYOTA YARIS;77024-0D070;45;8;0;0;8;NO CONTADO
RYG-FLT-0010;FILTRO DE GASOLINA;CHEVROLET SAIL;9040408;30;6;0;0;6;NO CONTADO
RYG-FLT-0011;FILTRO DE GASOLINA;JAC REFINE;IH-17017;30;9;0;1;8;NO CONTADO
RYG-FLT-0012;FILTRO DE GASOLINA AKTION;KIA / HYUNDAY;IH-17019;90;2;0;0;2;NO CONTADO
RYG-FLT-0013;FILTRO DE GASOLINA AKTION;TOYOTA 2E;IH-17047;30;8;0;1;7;NO CONTADO
RYG-FLT-0014;FILTRO DE GASOLINA AKTION;TOYOTA 4E;IH-17049;30;23;0;0;23;NO CONTADO
RYG-FLT-0015;FILTRO DE GASOLINA AKTION;TOYOTA 4E;IH-17068;30;16;0;0;16;NO CONTADO
RYG-FLT-0016;FILTRO DE GASOLINA AKTION;UNIVERSAL;IH-17051;30;30;0;5;25;NO CONTADO
RYG-FLT-0017;FILTRO DE GASOLINA ISIS;KIA PICANTO;IMP-75032;80;7;0;0;7;NO CONTADO
RYG-FLT-0018;FILTRO DE GASOLINA NEPPON;TOYOTA;23300-23040;90;4;0;0;4;NO CONTADO
RYG-FLT-0019;FILTRO DE GASOLINA WEILI;ESTÁNDAR;WL-FF002;30;10;0;0;10;NO CONTADO
RYG-FLT-0020;FILTRO DE REDUCTOR;;;20;74;0;50;24;NO CONTADO
RYG-FLT-0021;FILTRO TOYOTA YARIS;;77024-02120;80;2;0;0;2;NO CONTADO
RYG-HUA-0001;HUACHA PLANA 7/16 MM;ESTANDAR;PLN00022;2;0;0;0;0;NO CONTADO
RYG-HUA-0002;HUACHA PRESION 7/16 MM;ESTANDAR;ARN12;2;0;0;0;0;NO CONTADO
RYG-INY-0001;INYECTOR;CHEVROLET SAIL;DF028157108;130;6;0;0;6;NO CONTADO
RYG-INY-0002;INYECTOR;DAEWOO;WL12-0070;130;4;0;0;4;NO CONTADO
RYG-INY-0003;INYECTOR CHEVROLET SPARK;;DF96620255 (IMP-22164);130;26;0;0;26;NO CONTADO
RYG-INY-0004;INYECTOR DE GASOLINA;JAC MOTOR 1000;IMP-22069/F01R00M0022;130;8;0;0;8;NO CONTADO
RYG-INY-0005;INYECTOR DE GASOLINA;GREATWALL;280156426;130;3;0;0;3;NO CONTADO
RYG-INY-0006;INYECTOR DE GASOLINA;CHANA DONGFEN;WL12-0134/ 0280156417/RT-18097/0280156171;130;6;0;0;6;NO CONTADO
RYG-INY-0007;INYECTOR DE GASOLINA;CHEVROLET AVEO;WL12-0063-25334150;130;8;0;0;8;NO CONTADO
RYG-INY-0008;INYECTOR DE GASOLINA;CHEVROLET CRUZE (JAC J3);DF25380933;130;6;0;0;6;NO CONTADO
